"subject_id","X1__0","X2__0","X3__0","X4__0","X5__0","X1__1","X2__1","X3__1","X4__1","X5__1","X1__2","X2__2","X3__2","X4__2","X5__2","X1__3","X2__3","X3__3","X4__3","X5__3","X1__4","X2__4","X3__4","X4__4","X5__4","X1__5","X2__5","X3__5","X4__5","X5__5"
"19","28.0","26.0","19.0","89.0","84.0","52.0","70.0","83.0","4.0","30.0","28.0","26.0","25.0","89.0","1.0","52.0","70.0","83.0","89.0","62.0","52.0","60.0","83.0","4.0","84.0","15.0","5.0","50.0","4.0","62.0"
"20","30.0","70.0","25.0","89.0","84.0","30.0","5.0","83.0","89.0","62.0","15.0","70.0","25.0","68.0","1.0","28.0","5.0","83.0","68.0","84.0","52.0","5.0","25.0","68.0","30.0","28.0","60.0","25.0","35.0","84.0"
"21","28.0","26.0","83.0","89.0","84.0","15.0","26.0","19.0","89.0","84.0","52.0","60.0","83.0","4.0","62.0","15.0","5.0","19.0","68.0","84.0","15.0","26.0","50.0","4.0","84.0","15.0","5.0","83.0","4.0","62.0"
"22","30.0","5.0","25.0","68.0","84.0","30.0","5.0","83.0","89.0","1.0","15.0","70.0","50.0","89.0","62.0","30.0","26.0","83.0","68.0","84.0","15.0","5.0","83.0","4.0","62.0","52.0","5.0","19.0","4.0","62.0"
"23","28.0","70.0","19.0","4.0","84.0","30.0","60.0","19.0","89.0","62.0","15.0","5.0","50.0","89.0","84.0","52.0","26.0","50.0","68.0","84.0","15.0","70.0","19.0","35.0","84.0","30.0","60.0","83.0","4.0","1.0"
"24","30.0","26.0","50.0","89.0","84.0","30.0","70.0","50.0","89.0","30.0","30.0","26.0","83.0","89.0","30.0","30.0","70.0","83.0","89.0","84.0","30.0","5.0","19.0","89.0","30.0","28.0","70.0","19.0","89.0","62.0"
"25","30.0","26.0","50.0","89.0","84.0","15.0","26.0","50.0","4.0","84.0","52.0","60.0","19.0","35.0","62.0","52.0","60.0","50.0","4.0","30.0","28.0","5.0","25.0","89.0","84.0","28.0","70.0","50.0","4.0","62.0"
"26","28.0","60.0","83.0","89.0","84.0","15.0","5.0","25.0","35.0","62.0","52.0","60.0","50.0","68.0","62.0","52.0","26.0","25.0","4.0","84.0","28.0","26.0","25.0","4.0","1.0","15.0","5.0","25.0","35.0","62.0"
"27","30.0","70.0","50.0","89.0","30.0","15.0","5.0","19.0","4.0","62.0","30.0","5.0","83.0","68.0","84.0","30.0","60.0","83.0","89.0","84.0","15.0","5.0","19.0","4.0","62.0","52.0","5.0","25.0","4.0","62.0"
"28","30.0","60.0","19.0","89.0","84.0","15.0","70.0","83.0","89.0","30.0","15.0","5.0","83.0","89.0","62.0","15.0","60.0","83.0","35.0","62.0","52.0","60.0","83.0","4.0","62.0","15.0","5.0","50.0","35.0","62.0"
"29","28.0","60.0","25.0","89.0","84.0","30.0","70.0","25.0","89.0","62.0","30.0","5.0","83.0","68.0","62.0","28.0","5.0","19.0","35.0","62.0","30.0","60.0","?","68.0","62.0","15.0","26.0","83.0","35.0","84.0"
"30","28.0","5.0","83.0","89.0","1.0","15.0","70.0","50.0","35.0","62.0","28.0","60.0","50.0","4.0","62.0","52.0","60.0","83.0","4.0","30.0","15.0","5.0","50.0","35.0","84.0","28.0","60.0","83.0","89.0","1.0"
"31","30.0","5.0","50.0","89.0","30.0","30.0","5.0","19.0","68.0","62.0","52.0","70.0","50.0","4.0","30.0","15.0","60.0","19.0","89.0","30.0","52.0","60.0","25.0","35.0","62.0","52.0","60.0","19.0","4.0","62.0"
"32","28.0","70.0","25.0","89.0","1.0","30.0","70.0","25.0","4.0","62.0","15.0","60.0","19.0","68.0","1.0","15.0","5.0","83.0","35.0","62.0","28.0","70.0","50.0","4.0","1.0","30.0","70.0","25.0","89.0","30.0"
"33","30.0","70.0","19.0","89.0","84.0","15.0","26.0","50.0","89.0","84.0","28.0","26.0","83.0","4.0","62.0","52.0","70.0","25.0","68.0","30.0","28.0","70.0","25.0","35.0","84.0","30.0","70.0","25.0","89.0","62.0"
"34","28.0","26.0","19.0","4.0","30.0","15.0","60.0","25.0","35.0","30.0","52.0","60.0","50.0","68.0","62.0","52.0","60.0","83.0","4.0","62.0","52.0","60.0","50.0","35.0","1.0","15.0","5.0","19.0","35.0","30.0"
"35","28.0","70.0","25.0","89.0","30.0","15.0","70.0","25.0","35.0","30.0","30.0","60.0","83.0","35.0","62.0","52.0","60.0","83.0","4.0","84.0","15.0","70.0","50.0","89.0","84.0","15.0","5.0","50.0","4.0","62.0"
"36","28.0","26.0","25.0","4.0","30.0","28.0","5.0","83.0","35.0","62.0","52.0","60.0","19.0","35.0","62.0","30.0","70.0","19.0","35.0","30.0","30.0","5.0","19.0","68.0","30.0","30.0","60.0","25.0","89.0","84.0"
"37","28.0","5.0","19.0","89.0","84.0","30.0","60.0","19.0","4.0","30.0","28.0","26.0","19.0","35.0","84.0","15.0","60.0","50.0","4.0","84.0","52.0","60.0","50.0","68.0","62.0","15.0","26.0","50.0","68.0","84.0"
"38","30.0","5.0","50.0","68.0","1.0","30.0","5.0","19.0","35.0","?","30.0","60.0","83.0","?","62.0","52.0","60.0","50.0","4.0","1.0","15.0","5.0","19.0","89.0","84.0","15.0","26.0","83.0","89.0","1.0"
"39","30.0","70.0","25.0","35.0","84.0","30.0","70.0","19.0","89.0","1.0","30.0","60.0","19.0","35.0","30.0","15.0","26.0","50.0","68.0","62.0","15.0","60.0","83.0","68.0","62.0","52.0","60.0","83.0","35.0","84.0"
"40","28.0","70.0","50.0","89.0","84.0","30.0","?","50.0","?","30.0","15.0","26.0","50.0","68.0","84.0","28.0","5.0","50.0","4.0","62.0","30.0","60.0","19.0","35.0","62.0","52.0","60.0","50.0","35.0","62.0"
"41","28.0","70.0","25.0","89.0","84.0","52.0","60.0","83.0","68.0","30.0","52.0","26.0","50.0","68.0","84.0","15.0","26.0","19.0","35.0","84.0","15.0","60.0","83.0","35.0","1.0","15.0","60.0","83.0","35.0","62.0"
"42","15.0","5.0","19.0","89.0","84.0","52.0","5.0","25.0","35.0","62.0","30.0","26.0","50.0","35.0","1.0","15.0","60.0","19.0","35.0","62.0","52.0","60.0","19.0","4.0","1.0","15.0","60.0","25.0","68.0","62.0"
"43","30.0","70.0","25.0","89.0","30.0","30.0","70.0","83.0","35.0","62.0","30.0","60.0","83.0","68.0","62.0","15.0","26.0","19.0","68.0","84.0","52.0","60.0","19.0","68.0","62.0","15.0","5.0","19.0","89.0","62.0"
"44","30.0","70.0","19.0","68.0","84.0","30.0","60.0","19.0","89.0","62.0","30.0","70.0","83.0","68.0","1.0","30.0","5.0","83.0","89.0","62.0","30.0","5.0","?","35.0","1.0","15.0","26.0","83.0","35.0","84.0"
"45","30.0","26.0","25.0","89.0","84.0","28.0","26.0","19.0","4.0","84.0","52.0","5.0","19.0","68.0","84.0","15.0","60.0","19.0","89.0","62.0","52.0","60.0","25.0","4.0","62.0","52.0","60.0","19.0","68.0","62.0"
"46","30.0","60.0","25.0","89.0","84.0","30.0","70.0","50.0","89.0","30.0","30.0","70.0","25.0","4.0","30.0","28.0","60.0","19.0","68.0","1.0","15.0","5.0","50.0","89.0","30.0","15.0","26.0","19.0","4.0","62.0"
"47","28.0","70.0","19.0","89.0","1.0","30.0","5.0","25.0","35.0","62.0","30.0","60.0","19.0","68.0","30.0","52.0","60.0","83.0","68.0","84.0","15.0","5.0","19.0","35.0","84.0","15.0","60.0","83.0","68.0","30.0"
"48","28.0","60.0","50.0","68.0","84.0","30.0","60.0","19.0","89.0","30.0","15.0","5.0","50.0","35.0","1.0","52.0","70.0","25.0","89.0","62.0","30.0","5.0","50.0","68.0","1.0","15.0","70.0","50.0","89.0","62.0"
"49","28.0","70.0","83.0","89.0","84.0","15.0","26.0","50.0","68.0","62.0","28.0","5.0","19.0","4.0","1.0","15.0","?","50.0","35.0","30.0","30.0","60.0","83.0","89.0","1.0","52.0","5.0","50.0","35.0","62.0"
"50","52.0","60.0","19.0","89.0","84.0","30.0","26.0","83.0","89.0","84.0","30.0","70.0","25.0","89.0","62.0","30.0","60.0","83.0","68.0","30.0","30.0","70.0","83.0","89.0","1.0","15.0","60.0","19.0","35.0","1.0"
"51","28.0","70.0","19.0","89.0","84.0","15.0","70.0","25.0","35.0","62.0","52.0","60.0","19.0","4.0","1.0","15.0","5.0","25.0","4.0","84.0","15.0","26.0","83.0","35.0","1.0","15.0","70.0","83.0","89.0","62.0"
"52","30.0","70.0","25.0","35.0","84.0","28.0","70.0","19.0","4.0","62.0","15.0","5.0","83.0","89.0","62.0","30.0","60.0","83.0","68.0","62.0","15.0","5.0","83.0","68.0","30.0","?","70.0","83.0","4.0","1.0"
"53","30.0","60.0","50.0","89.0","84.0","15.0","26.0","19.0","35.0","84.0","30.0","26.0","83.0","89.0","62.0","28.0","26.0","19.0","68.0","84.0","15.0","60.0","25.0","89.0","30.0","15.0","5.0","83.0","4.0","62.0"
"54","28.0","26.0","25.0","89.0","30.0","28.0","26.0","19.0","4.0","84.0","28.0","5.0","83.0","4.0","62.0","15.0","26.0","83.0","68.0","84.0","28.0","5.0","83.0","35.0","62.0","52.0","60.0","25.0","68.0","62.0"
"55","30.0","5.0","19.0","35.0","30.0","30.0","60.0","50.0","35.0","62.0","30.0","70.0","19.0","4.0","30.0","52.0","60.0","83.0","68.0","62.0","30.0","5.0","19.0","35.0","1.0","30.0","60.0","83.0","68.0","62.0"
"56","28.0","70.0","83.0","89.0","84.0","30.0","60.0","19.0","89.0","62.0","15.0","5.0","19.0","68.0","84.0","52.0","26.0","25.0","4.0","62.0","15.0","60.0","50.0","89.0","62.0","30.0","5.0","83.0","68.0","30.0"
"57","30.0","60.0","83.0","89.0","84.0","15.0","26.0","19.0","4.0","62.0","15.0","60.0","50.0","35.0","62.0","52.0","60.0","50.0","68.0","62.0","15.0","26.0","19.0","68.0","84.0","15.0","26.0","83.0","35.0","84.0"
"58","28.0","70.0","19.0","68.0","30.0","30.0","26.0","19.0","68.0","84.0","15.0","5.0","?","4.0","62.0","30.0","5.0","83.0","35.0","62.0","15.0","70.0","19.0","?","1.0","52.0","60.0","25.0","89.0","62.0"
"59","30.0","26.0","50.0","4.0","30.0","28.0","?","19.0","35.0","84.0","15.0","60.0","25.0","35.0","84.0","52.0","26.0","50.0","35.0","62.0","15.0","26.0","19.0","68.0","84.0","15.0","60.0","50.0","68.0","62.0"
"60","15.0","5.0","50.0","4.0","84.0","52.0","60.0","25.0","4.0","62.0","15.0","5.0","19.0","?","62.0","15.0","60.0","83.0","68.0","62.0","52.0","60.0","50.0","4.0","62.0","15.0","5.0","19.0","68.0","84.0"
"61","?","60.0","19.0","4.0","30.0","15.0","5.0","83.0","35.0","62.0","30.0","60.0","83.0","68.0","62.0","30.0","26.0","83.0","4.0","84.0","15.0","60.0","50.0","68.0","30.0","52.0","60.0","25.0","68.0","30.0"
"62","30.0","70.0","50.0","89.0","84.0","15.0","26.0","50.0","68.0","84.0","15.0","60.0","83.0","35.0","62.0","15.0","70.0","50.0","68.0","62.0","15.0","26.0","83.0","68.0","62.0","28.0","5.0","83.0","35.0","62.0"
"63","30.0","60.0","19.0","68.0","84.0","28.0","60.0","19.0","4.0","62.0","52.0","60.0","25.0","4.0","62.0","52.0","5.0","83.0","68.0","62.0","15.0","26.0","50.0","35.0","84.0","15.0","70.0","83.0","35.0","62.0"
"64","15.0","26.0","25.0","89.0","30.0","15.0","5.0","83.0","4.0","1.0","30.0","60.0","83.0","35.0","62.0","28.0","60.0","83.0","35.0","84.0","15.0","70.0","25.0","68.0","30.0","28.0","70.0","83.0","35.0","1.0"
"65","28.0","70.0","83.0","89.0","84.0","30.0","26.0","19.0","68.0","84.0","15.0","60.0","83.0","89.0","84.0","15.0","5.0","83.0","35.0","62.0","15.0","26.0","83.0","68.0","62.0","15.0","60.0","83.0","89.0","62.0"
"66","30.0","26.0","50.0","89.0","84.0","15.0","5.0","19.0","4.0","62.0","30.0","60.0","83.0","68.0","62.0","15.0","5.0","50.0","68.0","62.0","30.0","60.0","50.0","68.0","62.0","15.0","60.0","50.0","35.0","62.0"
"67","30.0","26.0","19.0","89.0","84.0","30.0","70.0","83.0","89.0","30.0","28.0","26.0","19.0","68.0","84.0","28.0","26.0","19.0","4.0","84.0","52.0","5.0","83.0","4.0","84.0","30.0","5.0","50.0","89.0","62.0"
"68","30.0","70.0","19.0","89.0","84.0","?","70.0","19.0","89.0","62.0","52.0","60.0","50.0","4.0","30.0","15.0","5.0","50.0","4.0","62.0","52.0","5.0","25.0","4.0","62.0","15.0","26.0","19.0","35.0","30.0"
"69","28.0","60.0","25.0","89.0","84.0","15.0","5.0","25.0","35.0","62.0","52.0","60.0","19.0","35.0","1.0","15.0","5.0","50.0","35.0","84.0","52.0","60.0","19.0","4.0","62.0","15.0","5.0","50.0","89.0","84.0"
"70","30.0","70.0","25.0","89.0","30.0","52.0","60.0","50.0","35.0","1.0","52.0","60.0","25.0","35.0","84.0","30.0","26.0","19.0","68.0","84.0","28.0","5.0","50.0","35.0","62.0","15.0","60.0","25.0","89.0","30.0"
"71","28.0","70.0","25.0","68.0","84.0","30.0","5.0","25.0","89.0","62.0","30.0","5.0","25.0","68.0","62.0","15.0","26.0","50.0","?","84.0","28.0","70.0","83.0","4.0","1.0","15.0","5.0","?","89.0","30.0"
"72","28.0","70.0","83.0","68.0","30.0","30.0","60.0","25.0","35.0","62.0","15.0","70.0","19.0","35.0","84.0","30.0","70.0","25.0","89.0","1.0","15.0","26.0","50.0","89.0","84.0","15.0","5.0","83.0","4.0","1.0"
"73","30.0","26.0","25.0","89.0","84.0","28.0","5.0","19.0","4.0","62.0","52.0","26.0","83.0","4.0","1.0","28.0","5.0","25.0","68.0","62.0","28.0","5.0","83.0","35.0","62.0","52.0","26.0","25.0","4.0","62.0"
"74","28.0","60.0","19.0","68.0","84.0","15.0","60.0","25.0","35.0","30.0","52.0","60.0","25.0","4.0","62.0","15.0","26.0","50.0","35.0","84.0","52.0","?","25.0","4.0","62.0","30.0","70.0","50.0","68.0","30.0"
"75","30.0","70.0","50.0","89.0","84.0","15.0","5.0","50.0","4.0","62.0","28.0","5.0","50.0","35.0","62.0","28.0","70.0","83.0","35.0","84.0","28.0","60.0","83.0","4.0","84.0","15.0","5.0","50.0","4.0","84.0"
"76","30.0","60.0","50.0","68.0","84.0","52.0","60.0","83.0","68.0","62.0","28.0","70.0","19.0","35.0","1.0","30.0","26.0","83.0","89.0","84.0","28.0","5.0","19.0","35.0","62.0","30.0","60.0","19.0","68.0","62.0"
"77","28.0","26.0","19.0","68.0","84.0","30.0","70.0","19.0","4.0","?","15.0","5.0","19.0","35.0","62.0","15.0","60.0","83.0","68.0","62.0","15.0","26.0","83.0","35.0","62.0","52.0","60.0","25.0","35.0","62.0"
"78","30.0","70.0","19.0","68.0","84.0","28.0","5.0","19.0","35.0","30.0","15.0","60.0","19.0","35.0","62.0","52.0","60.0","50.0","4.0","62.0","30.0","26.0","50.0","35.0","84.0","30.0","60.0","25.0","4.0","84.0"
"79","28.0","70.0","19.0","89.0","84.0","28.0","70.0","19.0","68.0","30.0","30.0","60.0","25.0","35.0","30.0","15.0","60.0","83.0","35.0","62.0","28.0","60.0","83.0","35.0","62.0","52.0","60.0","19.0","4.0","30.0"
"80","30.0","5.0","83.0","68.0","84.0","30.0","5.0","25.0","89.0","30.0","30.0","5.0","19.0","35.0","62.0","28.0","70.0","19.0","68.0","62.0","30.0","70.0","19.0","68.0","1.0","15.0","5.0","83.0","35.0","30.0"
"81","30.0","5.0","25.0","68.0","84.0","30.0","60.0","25.0","89.0","62.0","15.0","5.0","19.0","68.0","62.0","30.0","60.0","83.0","35.0","62.0","15.0","26.0","?","35.0","84.0","15.0","60.0","50.0","89.0","1.0"
"82","30.0","70.0","19.0","4.0","30.0","30.0","60.0","83.0","89.0","1.0","30.0","70.0","19.0","35.0","30.0","28.0","70.0","19.0","35.0","1.0","30.0","70.0","19.0","35.0","30.0","15.0","26.0","83.0","4.0","62.0"
"83","28.0","26.0","83.0","89.0","84.0","15.0","60.0","25.0","35.0","84.0","28.0","70.0","83.0","4.0","84.0","30.0","60.0","25.0","89.0","30.0","15.0","26.0","50.0","35.0","84.0","30.0","70.0","50.0","89.0","62.0"
"84","28.0","26.0","50.0","68.0","84.0","28.0","5.0","19.0","4.0","30.0","52.0","5.0","83.0","68.0","62.0","28.0","70.0","25.0","35.0","84.0","15.0","60.0","25.0","4.0","30.0","52.0","26.0","50.0","68.0","84.0"
"85","30.0","60.0","19.0","89.0","84.0","15.0","5.0","83.0","35.0","62.0","15.0","60.0","?","89.0","62.0","52.0","5.0","19.0","68.0","62.0","30.0","60.0","19.0","68.0","84.0","15.0","5.0","50.0","89.0","84.0"
"86","52.0","26.0","25.0","68.0","84.0","15.0","60.0","50.0","35.0","30.0","?","60.0","83.0","89.0","62.0","15.0","60.0","19.0","68.0","62.0","52.0","5.0","83.0","?","62.0","28.0","60.0","25.0","35.0","62.0"
"87","30.0","5.0","50.0","89.0","84.0","30.0","26.0","83.0","89.0","84.0","52.0","70.0","50.0","68.0","62.0","15.0","26.0","50.0","?","30.0","15.0","26.0","50.0","89.0","84.0","15.0","26.0","50.0","35.0","84.0"
"88","30.0","70.0","19.0","89.0","84.0","15.0","26.0","19.0","35.0","84.0","15.0","60.0","50.0","35.0","62.0","30.0","26.0","19.0","68.0","1.0","28.0","70.0","83.0","68.0","1.0","30.0","60.0","25.0","89.0","30.0"
"89","15.0","70.0","25.0","35.0","30.0","52.0","60.0","25.0","35.0","62.0","30.0","70.0","50.0","68.0","84.0","15.0","26.0","19.0","4.0","84.0","15.0","60.0","83.0","35.0","1.0","52.0","60.0","50.0","68.0","62.0"
"90","30.0","70.0","25.0","68.0","30.0","15.0","5.0","83.0","68.0","1.0","30.0","60.0","83.0","35.0","62.0","30.0","70.0","83.0","68.0","62.0","30.0","70.0","83.0","68.0","62.0","15.0","26.0","19.0","89.0","62.0"
"91","28.0","70.0","19.0","89.0","84.0","30.0","60.0","50.0","89.0","30.0","15.0","26.0","50.0","4.0","84.0","52.0","5.0","50.0","68.0","84.0","52.0","70.0","?","68.0","84.0","?","60.0","50.0","4.0","62.0"
"92","30.0","60.0","19.0","89.0","84.0","15.0","5.0","83.0","35.0","84.0","30.0","60.0","83.0","89.0","84.0","30.0","26.0","83.0","89.0","84.0","15.0","26.0","19.0","89.0","30.0","15.0","70.0","83.0","89.0","1.0"
"93","28.0","60.0","19.0","89.0","84.0","15.0","5.0","25.0","89.0","62.0","30.0","5.0","25.0","35.0","84.0","52.0","60.0","50.0","68.0","62.0","15.0","26.0","19.0","68.0","84.0","52.0","70.0","83.0","4.0","1.0"
"94","28.0","5.0","19.0","68.0","84.0","30.0","60.0","19.0","89.0","62.0","52.0","60.0","83.0","68.0","30.0","52.0","26.0","50.0","35.0","84.0","28.0","70.0","25.0","89.0","1.0","30.0","60.0","19.0","35.0","62.0"
"95","28.0","26.0","83.0","68.0","?","28.0","70.0","19.0","35.0","30.0","?","60.0","19.0","4.0","30.0","52.0","60.0","50.0","68.0","62.0","30.0","26.0","19.0","68.0","84.0","52.0","5.0","83.0","4.0","62.0"
"96","30.0","60.0","25.0","89.0","84.0","52.0","26.0","83.0","35.0","84.0","52.0","5.0","25.0","35.0","84.0","30.0","60.0","19.0","89.0","84.0","15.0","60.0","19.0","89.0","62.0","15.0","5.0","83.0","68.0","1.0"
"97","28.0","60.0","19.0","89.0","84.0","15.0","5.0","19.0","35.0","62.0","15.0","70.0","83.0","68.0","62.0","15.0","26.0","50.0","68.0","84.0","15.0","60.0","19.0","89.0","62.0","30.0","26.0","83.0","68.0","62.0"
"98","30.0","60.0","50.0","89.0","84.0","52.0","60.0","83.0","35.0","30.0","52.0","60.0","83.0","4.0","62.0","15.0","70.0","50.0","68.0","84.0","15.0","5.0","83.0","89.0","62.0","30.0","5.0","83.0","4.0","84.0"
"99","15.0","5.0","50.0","89.0","84.0","15.0","60.0","50.0","89.0","62.0","52.0","60.0","50.0","35.0","62.0","15.0","70.0","50.0","68.0","84.0","15.0","26.0","83.0","4.0","62.0","28.0","26.0","25.0","35.0","1.0"
"100","30.0","60.0","25.0","89.0","84.0","30.0","26.0","83.0","68.0","30.0","28.0","5.0","50.0","68.0","62.0","28.0","60.0","19.0","35.0","62.0","15.0","5.0","25.0","68.0","30.0","15.0","26.0","83.0","68.0","62.0"
"101","30.0","26.0","50.0","89.0","30.0","28.0","26.0","19.0","68.0","84.0","30.0","70.0","19.0","89.0","30.0","30.0","?","25.0","35.0","62.0","30.0","70.0","83.0","?","1.0","52.0","60.0","50.0","89.0","30.0"
"102","30.0","5.0","50.0","68.0","30.0","28.0","70.0","19.0","68.0","30.0","30.0","26.0","19.0","35.0","62.0","28.0","26.0","19.0","35.0","1.0","52.0","70.0","83.0","89.0","62.0","28.0","5.0","25.0","35.0","30.0"
"103","30.0","26.0","19.0","68.0","1.0","28.0","60.0","19.0","89.0","30.0","15.0","60.0","25.0","4.0","62.0","15.0","26.0","83.0","68.0","62.0","15.0","26.0","83.0","68.0","62.0","52.0","60.0","83.0","4.0","62.0"
"104","30.0","60.0","25.0","89.0","84.0","30.0","70.0","19.0","89.0","62.0","15.0","5.0","19.0","35.0","62.0","15.0","60.0","50.0","68.0","62.0","15.0","5.0","50.0","68.0","62.0","28.0","70.0","83.0","4.0","1.0"
"105","28.0","60.0","50.0","68.0","30.0","52.0","60.0","25.0","4.0","30.0","15.0","70.0","19.0","4.0","84.0","52.0","60.0","50.0","35.0","62.0","28.0","70.0","25.0","4.0","62.0","28.0","70.0","19.0","4.0","84.0"
"106","30.0","60.0","50.0","68.0","84.0","15.0","5.0","50.0","89.0","62.0","15.0","60.0","19.0","68.0","62.0","15.0","5.0","50.0","35.0","1.0","52.0","70.0","83.0","35.0","62.0","30.0","60.0","50.0","4.0","62.0"
"107","30.0","26.0","25.0","89.0","84.0","28.0","5.0","50.0","4.0","62.0","28.0","60.0","19.0","35.0","30.0","15.0","70.0","25.0","35.0","62.0","28.0","26.0","83.0","4.0","84.0","15.0","60.0","50.0","89.0","84.0"
"108","52.0","26.0","19.0","89.0","84.0","15.0","26.0","50.0","35.0","84.0","28.0","60.0","50.0","35.0","62.0","15.0","26.0","19.0","68.0","62.0","15.0","5.0","83.0","35.0","1.0","30.0","60.0","83.0","35.0","62.0"
"109","28.0","26.0","50.0","89.0","84.0","15.0","5.0","50.0","89.0","62.0","30.0","60.0","19.0","35.0","1.0","15.0","5.0","19.0","35.0","30.0","15.0","60.0","50.0","68.0","84.0","30.0","26.0","83.0","89.0","84.0"
